crimes;stations;plant;spending;yards;landfill;structure;flows;farming;use;store;road;piste;proximity;bus;accidents;widening;activity;stops;Amsterdam;Virus;based;removal;streets;arsons;sales;locations;age;years;groups;houses;district;candidates;coming;block;robberies;density;units;relative;trees;elms;calls;tornadoes;clusters;type;area;schools;enforcement;coefficients;runway;properties;neighborhood;region;cyclists;scales;population;estimated;emissions;fields;activities;construction;data;location;potential;services;distribution;hospitals;buses;photography;Dynasty;access;environment;associated;Rail;populations;length;level;living;number;businesses;metric;characteristics;foods;heterogeneity;roads;segregation;composition;conditions;landscapes;residences;networks;visibility;immigrants;growth;uses;pattern;scale;prices;price;clustering;patterns;change;modeling;industries;establishments;students;Leeds;factors;IV;changes;Zone;rates;districts;facilities);pollution;myrtles;sinks;seniors;trams;trains;climate;types;resources;concentration;towns;forestry
are;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0;0;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
High-Speed;0;0;0;0;0.0666666666666667;0;0;0;0;0.0256410256410256;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0.0434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
geographic;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0.04;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
aging;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0.0666666666666667;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0.04;0.08;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0.0666666666666667;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0
areal;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0.04;0;0.0454545454545455;0.0625;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0.0476190476190476;0.1;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.111111111111111;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0
ratio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sidewalk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.111111111111111;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
tract;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.111111111111111;0;0.2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
people;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
retailing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Minkowski;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
household;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0.08;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0.0909090909090909;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.111111111111111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
grocery;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0;0;0;0;0;0
affordable;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0;0;0;0;0;0
geographical;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
low-class;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
housing;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0476190476190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
school;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0476190476190476;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0434782608695652;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
racial;0;0;0;0;0.133333333333333;0;0;0;0;0.0512820512820513;0.133333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.133333333333333;0;0;0;0;0;0;0;0;0;0;0;0.0869565217391304;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ecological;0;0;0;0.0714285714285714;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0.0384615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
heterogeneous;0;0;0;0.0714285714285714;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0.0384615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0
(SRH);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0;0;0;0;0;0
health;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.133333333333333;0.133333333333333;0;0;0;0;0;0;0.133333333333333;0;0;0;0;0;0;0;0.08;0;0.0681818181818182;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0.0714285714285714;0;0;0;0;0;0;0.133333333333333;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0.133333333333333;0;0;0.133333333333333;0;0;0;0;0.117647058823529;0;0;0;0;0;0;0;0;0.133333333333333;0;0;0;0;0.133333333333333;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0;0;0;0;0.133333333333333;0
reproductive;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0;0;0;0;0;0
sexual;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0.0714285714285714;0.0714285714285714;0;0;0;0;0;0
categories;0;0;0;0;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0;0;0
landuse;0;0;0;0;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0;0;0
transport;0;0;0;0;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0;0;0
serving;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0.0666666666666667;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0.04;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0.0666666666666667;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0
organizations;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0.0666666666666667;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0.04;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0.0666666666666667;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0
nonprofit;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0.0666666666666667;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0.04;0;0.0227272727272727;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0.0666666666666667;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0.0666666666666667;0
Boston;0;0;0;0.0714285714285714;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0.0384615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Greater;0;0;0;0.0714285714285714;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0.0384615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
urban;0;0;0;0.0714285714285714;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0.0714285714285714;0;0;0;0.0666666666666667;0.0666666666666667;0;0;0;0;0;0;0.0666666666666667;0;0;0;0;0;0;0;0.04;0;0.0227272727272727;0;0;0;0;0;0;0;0.0689655172413793;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.2;0.2;0;0;0;0;0;0.0714285714285714;0;0;0.2;0;0.0666666666666667;0;0.222222222222222;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0.0666666666666667;0;0;0.0666666666666667;0.166666666666667;0;0;0;0.117647058823529;0.2;0;0;0.125;0;0.0384615384615385;0.5;0;0.0666666666666667;0;0;0;0;0.0666666666666667;0;0;0.166666666666667;0;0;0;0;0;0;0;0;0;0.0666666666666667;0
density;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0.04;0;0;0;0.0526315789473684;0;0;0;0;0;0;0;0.0588235294117647;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
activity;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0.04;0;0;0;0.0526315789473684;0;0;0;0;0;0;0;0.0588235294117647;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0;0;0;0;0.0588235294117647;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0588235294117647;0.5;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
employment;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0476190476190476;0;0;0;0;0;0;0;0.0625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0.0384615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
use;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0.0833333333333333;0;0;0;0;0;0;0;0;0;0;0;0
built-up;0;0;0;0;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0454545454545455;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0.1;0.1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.1;0;0;0;0;0;0;0;0;0;0.1;0.1;0.1;0;0;0
social-economic;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
rural-urban;0;0;0;0.0714285714285714;0;0;0;0;0;0.0256410256410256;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0344827586206897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0714285714285714;0;0;0;0;0;0.0555555555555556;0;0;0;0;0;0;0;0;0;0.0384615384615385;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
cultural;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0952380952380952;0;0;0;0;0;0;0;0.125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666666666667;0;0.166666666666667;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.166666666666667;0;0;0;0.0769230769230769;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Zone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Islamabad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
area;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.333333333333333;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
